OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
f1d534d7a87cbe44e1dab02c02987389,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__SB-5,,
d353d8f820161b7962514034d5d61ec6,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Gallicola,D_6__unculturedbacterium
f34cdcd73e535507d29c29b19d01f658,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Burkholderiaceae,D_5__Rhodoferax,
a7952371c7815f893cc4c36945f891ee,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides,D_6__unculturedBacteroidessp.
875b4f6e35b5695cca3f95938d07e5dd,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Syntrophomonadaceae,D_5__Syntrophomonas,
95d709e772ad335f878c16aa92bf00fa,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__uncultured,D_6__unculturedprokaryote
cb1b55dffd685408021be26efedc66b9,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,,
8868232a85b69308b644bdfcaf7c07d8,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,D_5__Clostridiumsensustricto18,D_6__Clostridiumsp.mt5
4d73c3f096faa53c3a45e90b685c079d,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanomicrobia,D_3__Methanomicrobiales,D_4__Methanospirillaceae,D_5__Methanospirillum,
81e37182640a790f963dc2b8e9679bb1,D_0__Bacteria,D_1__Firmicutes,D_2__Negativicutes,D_3__Selenomonadales,D_4__Veillonellaceae,D_5__uncultured,D_6__unculturedbacteriumSJA-29
1c2003e39498b8caefe6e1f3a9f36476,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Rhodocyclaceae,D_5__Rhodocyclus,
876f816604c4a23255ab58ca03aefc85,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Ruminococcaceae,D_5__[Eubacterium]coprostanoligenesgroup,
1bfd68a12d65df2eb0e44db0d42c38d0,D_0__Bacteria,D_1__Spirochaetes,D_2__Leptospirae,D_3__Leptospirales,D_4__Leptospiraceae,D_5__RBG-16-49-21,D_6__microbialmatmetagenome
b7a76e004cf8d22daca022d45c178875,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,D_5__Holophaga,D_6__metagenome
6b8205fe6c7b1d661276b931a6ebc645,D_0__Bacteria,D_1__Firmicutes,D_2__Negativicutes,D_3__Selenomonadales,D_4__Veillonellaceae,D_5__uncultured,
be664d81a38cb3758c53692d270fcd01,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Sporanaerobacter,D_6__unculturedFirmicutesbacterium
097299a949e80572fe7cdfe81ee1abd6,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Peptoniphilus,D_6__Peptoniphilusstercorisuis
304f89346e1a320c635aae1b1cce4a5b,D_0__Bacteria,D_1__Spirochaetes,D_2__Spirochaetia,D_3__Spirochaetales,D_4__Spirochaetaceae,D_5__uncultured,D_6__unculturedbacterium
762564b661e50592bfa772adf7ff740b,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides,
ca9c66d47347c03d0343d6fe03ed8636,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales,D_4__Pasteurellaceae,D_5__Haemophilus,
394eda29c886632f514dd94b58381186,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales,D_4__Pasteurellaceae,D_5__Haemophilus,
bc2a66154f61c26e019fdbb00533d740,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Syntrophomonadaceae,D_5__Syntrophomonas,D_6__unculturedbacterium
38802b379cd430ee550000bd2fc3bc25,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanobacteria,D_3__Methanobacteriales,D_4__Methanobacteriaceae,D_5__Methanobacterium,
2dc1ee417b8d91902a37bee58a6f9066,D_0__Bacteria,D_1__Spirochaetes,D_2__Spirochaetia,D_3__Spirochaetales,D_4__Spirochaetaceae,D_5__Treponema2,
153dbe797be4fdb676be9b495fb4a081,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales,D_4__Enterococcaceae,,
fea6a48beb4c69bb434adc971aced320,D_0__Bacteria,D_1__Bacteroidetes,D_2__Chlorobia,D_3__Chlorobiales,D_4__Chlorobiaceae,D_5__Chlorobaculum,
b3cef75fcb14af2b61b6843bccd6feb7,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Myxococcales,D_4__Archangiaceae,D_5__Anaeromyxobacter,
f467f8787adbb3e5fc9f1bc590118e1d,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanobacteria,D_3__Methanobacteriales,D_4__Methanobacteriaceae,D_5__Methanobacterium,
1324f58dde8bc1d0e1a31304a9ba6c1a,D_0__Bacteria,D_1__Cyanobacteria,D_2__Oxyphotobacteria,D_3__Nostocales,D_4__Oscillatoriaceae,D_5__OscillatoriaPCC-10802,
55e30950fb6e37c545625db078c4fc46,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,,
7904f64f9270b01eb83d01ceade85292,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Anaerosalibacter,
b022b5312f30be684bdd2cc66030dea5,D_0__Bacteria,D_1__Firmicutes,D_2__Negativicutes,D_3__Selenomonadales,D_4__Veillonellaceae,D_5__Veillonella,
c02cc92e7a28ff4531be02b545bdaa37,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Peptoniphilus,D_6__swinemanurebacterium37-5
53ae67ddcbf678181fab8d552e8dc627,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Tissierella,D_6__unculturedbacterium
f7abaabc0c513990fa49c182021a6ee5,D_0__Bacteria,D_1__Cyanobacteria,D_2__Melainabacteria,D_3__Gastranaerophilales,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
bb9668764e327c5ffe86d5afe2bceaf1,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,D_5__Oxobacter,D_6__unculturedbacterium
336b4ac7468604be3e11e4eba6473800,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,D_5__Hathewaya,
60542bc6cd69d94910a97b491f13cc81,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Tepidimicrobium,
6c10790a7a8bf11ff2c7d7ef1cba42c1,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__uncultured,D_5__unculturedbacterium,D_6__unculturedbacterium
6aed4cbe48b51a0e15c391fbe8404e99,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,D_5__Haloimpatiens,
154b1af31ba385ffbad2ed10e0b6af20,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanomicrobia,D_3__Methanomicrobiales,D_4__Methanospirillaceae,D_5__Methanospirillum,D_6__unculturedarchaeon
b621e658b123964a697ef32edb515d33,D_0__Bacteria,D_1__Spirochaetes,D_2__Spirochaetia,D_3__Spirochaetales,D_4__Spirochaetaceae,D_5__uncultured,D_6__unculturedbacterium
ba250806f1985bf18da273207ac1f0af,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Syntrophomonadaceae,D_5__Syntrophomonas,D_6__unculturedbacterium
1ceb2379fdc16d3bf512df6760eeef7a,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Peptostreptococcaceae,D_5__Peptostreptococcus,
8dcf1ea379a49aac70728476eaec02b1,D_0__Bacteria,D_1__Spirochaetes,D_2__Spirochaetia,D_3__Spirochaetales,D_4__Spirochaetaceae,D_5__uncultured,D_6__unculturedbacterium
ffab3e1faebf117304dfdb6ca754d864,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides,D_6__Bacteroidescoprosuis
d15bc449222795a9ff230013aa633686,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Moraxellaceae,D_5__Acinetobacter,
13a9bbe357274b376f7b0406950cf21d,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides,
f22ca3d1934ce7492f4f4cb08475a5e8,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,,
5d16fea3aaa0a130902f82380eff8e31,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Syntrophomonadaceae,D_5__uncultured,D_6__unculturedSyntrophomonassp.
b22fe6d83d0d830b35502759270f694b,D_0__Bacteria,D_1__Cyanobacteria,D_2__Melainabacteria,D_3__Gastranaerophilales,,,
0a21726cd4952a96635576553da67787,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Prevotellaceae,D_5__Alloprevotella,
316b16fc3c3db65b7595534bacd98ae6,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Rikenellaceae,D_5__uncultured,D_6__iron-reducingbacteriumenrichmentculturecloneHN7
e5097e22512ff43d39a4e7caf835c901,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Ruminococcaceae,D_5__Anaerotruncus,D_6__unculturedAnaerotruncussp.
c91d025b3d5b0367100fedc19817d435,D_0__Bacteria,D_1__Patescibacteria,D_2__Parcubacteria,D_3__CandidatusMoranbacteria,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
e273657a003aeaee00b6b27f0b08102d,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,,
5c44b50c2d69a7805f2777868e011deb,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Bacteroidaceae,D_5__Bacteroides,
c93f8cfe113c1a9787934b2822cd836b,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales,D_4__Moraxellaceae,D_5__Acinetobacter,
0cb4760376de2759df3d5eb54c90f08e,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Syntrophomonadaceae,D_5__Syntrophomonas,
69ccef26c95cc31652790c1c4c35dfe2,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales,D_4__Pasteurellaceae,D_5__Haemophilus,D_6__unculturedbacterium
f7e3a9fca7be212de883e529bef3145b,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Syntrophomonadaceae,D_5__Syntrophomonas,
b20e72ccb15851e320ceefbc5812c541,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,D_5__uncultured,D_6__unculturedAcidobacteriabacterium
063a342e320dbda4937e9431511dc1e3,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__W5053,D_6__ClostridialesbacteriumFK041
1f48eee0a5597d83e3490a5d8735cb36,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhodospirillales,D_4__Rhodospirillaceae,D_5__Pararhodospirillum,
ca8f1c260ac18a133685554fc1089155,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhodobacterales,D_4__Rhodobacteraceae,D_5__Rhodobacter,
942ec60e75a4f9183b9b69cbf8960379,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales,D_4__Carnobacteriaceae,D_5__Granulicatella,
f68ddf86c275eb37264846cc7a3a6c6b,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,,
1bf28b748e78c1e80fc6df716c119bf6,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Desulfuromonadales,D_4__Geobacteraceae,D_5__Geobacter,
13f90c54e881b3ea3999038392d989ad,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Chromobacteriaceae,D_5__Paludibacterium,D_6__unculturedbacterium
43e2c7d82dcd9ecf745fb8faaaa66565,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Syntrophomonadaceae,,
f261da675d170d3005e6ab4d3a0332ed,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Prevotellaceae,D_5__PrevotellaceaeUCG-004,D_6__unculturedbacterium
b9036f07db75f286b5805c03c1ac4320,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Neisseriaceae,D_5__Neisseria,D_6__unidentified
a4043168683ea6047c6c559d4dfd9a45,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Rikenellaceae,D_5__uncultured,D_6__iron-reducingbacteriumenrichmentculturecloneHN7
34f9eeb1fbbfe4fcb7fe169228bbfd9d,D_0__Bacteria,D_1__Spirochaetes,D_2__Leptospirae,D_3__Leptospirales,D_4__Leptospiraceae,D_5__RBG-16-49-21,D_6__unculturedLeptospirasp.
212e3b140b1eb44b4f922f2921e3e9f4,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Helcococcus,
b8c25739b60d6ee3ce195b9ae2d55f9b,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Beijerinckiaceae,D_5__Rhodoblastus,
0bb2ce493b34765a4714858b559c09bb,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,D_5__Oxobacter,D_6__unculturedbacterium
65f898937fc87c72a2440bce113e1b54,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Ruminococcaceae,D_5__Ruminiclostridium1,
10bcf4f28a295d70f6f6cd8f821c76c5,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Syntrophomonadaceae,D_5__unculturedbacterium,D_6__unculturedbacterium
759b50c371ceaaeefdba890d2f90364a,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Methylococcales,D_4__Methylomonaceae,D_5__uncultured,D_6__unculturedbacterium
15cf48c25825941e0d72b74ede95cb6d,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Burkholderiaceae,D_5__Hydrogenophaga,
5702a69392eb00caa7ae17c29d894122,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Syntrophomonadaceae,D_5__Syntrophomonas,
327459f4807b2f9182513c706fd30a72,D_0__Archaea,D_1__Diapherotrites,D_2__Micrarchaeia,D_3__unculturedarchaeon,D_4__unculturedarchaeon,D_5__unculturedarchaeon,D_6__unculturedarchaeon
bc6899317b1e999a7686558360e095fc,D_0__Bacteria,D_1__Dependentiae,D_2__Babeliae,D_3__Babeliales,D_4__Vermiphilaceae,D_5__candidatedivisionTM6bacteriumGW2011_GWF2_30_66,D_6__candidatedivisionTM6bacteriumGW2011_GWF2_30_66
36e9073b1b00b5015ac8804ef309699b,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Tepidimicrobium,D_6__unculturedTepidimicrobiumsp.
b29cfe648d90e9957da6177cac337294,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Tissierella,D_6__unculturedbacterium
fbf1491ba4b151052ac23f8e11205e28,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__Ignavibacteriales,D_4__SR-FBR-L83,D_5__unculturedbacterium,D_6__unculturedbacterium
da970d4bd44f9b3912d9c00e4d3df8c0,D_0__Bacteria,D_1__Patescibacteria,D_2__Gracilibacteria,D_3__metagenome,D_4__metagenome,D_5__metagenome,D_6__metagenome
5955a02540f6d4c6a253f3fa6e83024e,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanobacteria,D_3__Methanobacteriales,D_4__Methanobacteriaceae,D_5__Methanobacterium,D_6__unculturedMethanobacterialesarchaeon
4218f5e3f039524d814ce1b32111a9d0,D_0__Bacteria,D_1__Spirochaetes,D_2__Leptospirae,D_3__Leptospirales,D_4__Leptospiraceae,D_5__RBG-16-49-21,D_6__unculturedbacterium
ded7f7892eef007fbac04c13d146f8c7,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__SAR324clade(MarinegroupB),D_4__unculturedbacteriumzdt-33i5,D_5__unculturedbacteriumzdt-33i5,D_6__unculturedbacteriumzdt-33i5
83bb10f3d5c91010a147dcd7159e9d13,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,D_5__Clostridiumsensustricto18,
fcb65cb8aa66101f9ca0c9dee9640501,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Ruminococcaceae,D_5__[Eubacterium]coprostanoligenesgroup,
be3636a0c7dc5b20006944757968017d,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,
6751bbff2a907399e346ccdfd66d714e,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Holophagales,D_4__Holophagaceae,,
4448bf3544bffe341556b3b334a673b8,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhodospirillales,D_4__Magnetospirillaceae,D_5__Phaeospirillum,
e4767ea94d4aa67230162e3b720b4121,D_0__Bacteria,D_1__Firmicutes,D_2__Negativicutes,D_3__Selenomonadales,D_4__Veillonellaceae,D_5__uncultured,D_6__unculturedPeptococcaceaebacterium
1e1178f3163cc9169597e95ff04f6ec6,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Burkholderiaceae,D_5__Aquabacterium,
